,0
0,1.3188735269010952
1,0.32456050341747045
2,-1.6388322125771677
3,-1.2284860944525167
4,0.24422989650996108
5,0.6094671439077627
6,-0.3604262520036801
7,-0.4992578773414479
8,-0.1429134577492023
9,1.1174570975540319
10,-2.3062850745368224
11,-0.6747072047066014
12,0.01746595138189312
13,0.1449041599473831
14,-0.43757191561414827
15,-2.194547050812685
16,1.4423437676640556
17,-1.3465320863077315
18,-0.08996129777163737
19,0.6229138263958581
20,-0.31223940934172845
21,-0.9262788948808469
22,-1.1839923044333
23,-0.22375159081776513
24,-1.0315125534825735
25,2.0126297719282573
26,0.8863701839618532
27,-0.4301012067693232
28,0.8848506690389125
29,1.1538309014530597
30,-1.5023436678640762
31,-2.329567157062845
32,-0.39572036380469255
33,1.3628693234299798
34,0.2268212614960068
35,0.34967933973854426
36,-1.2600011989904898
37,-0.12970496762019823
38,-0.23259766726106487
39,-0.7940280909378421
40,-1.446627589477027
41,2.635180067084971
42,-0.8820429018742711
43,0.12663057618813137
44,-1.0321423199843682
45,1.3478163278057722
46,1.2005955064737157
47,-0.9155234795882168
48,-0.46312470502723513
49,1.7418312652316275
50,0.2944451281635373
51,-1.0453974652455837
52,0.31545818497741124
53,0.8308217681501777
54,1.102265837983509
55,0.5213573825456386
56,0.2102993039158208
57,-1.2115027862281216
58,-0.33376802442232356
59,-0.35881275468650364
60,-0.7198716972018265
61,0.3520052573953752
62,-0.8687833070150952
63,0.7162479754052391
64,0.05848800103114275
65,-0.3987421790008106
66,1.8314187624897422
67,1.1448073392912164
68,-0.1995607739731314
69,0.6934584217556236
70,-0.9692642024162633
71,0.20279582848154207
72,-0.7674791138042502
73,1.1028697169034831
74,-0.5073050366222248
75,1.543829291086699
76,0.3722454023047617
77,0.8424129128349542
78,-0.638855187295487
79,0.894866170745681
80,-1.1355643959424686
81,-1.0078603736210752
82,0.8903755284314684
83,-0.6696913964898644
84,1.5832495079072613
85,2.1797486792102965
86,0.41533580342128823
87,-1.3498275316297024
88,-1.037452717641285
89,1.1351646518056295
90,0.10568250417099101
91,-1.7537707540889973
92,-0.5407518272509326
93,1.3347579111216008
94,0.585510282662875
95,-0.2826872534555897
96,2.083736505090585
97,0.6283991634465559
98,1.5374799044447203
99,0.6350765763216225
100,0.23741345948298628
101,0.24574450325875422
102,-1.8450567609322786
103,1.0420763786256075
104,2.8885788889243553
105,-0.7012025910140457
106,-0.7362382060319119
107,-0.5251121273411389
108,0.670694555569946
109,0.33937325771033805
110,1.286676995261163
111,-0.5309955954679793
112,-0.7677314448406133
113,1.4021964296439902
114,-0.3701352572682834
115,0.617445031615521
116,0.6698560695735539
117,-1.4602497456390113
118,-2.2239529993219667
119,0.33424427546519375
120,0.5551043553612343
121,-1.8268966072354118
122,-0.029031899281211485
123,-0.8713617623382781
124,0.0782696411361044
125,0.12036957333613216
126,0.01425223003452613
127,0.48861504401253597
128,-1.4685220050878127
129,-1.1069376263416266
130,1.253042051262494
131,1.184052325673262
132,0.602350869685913
133,0.7208931091808304
134,1.575605582364195
135,1.423576991430195
136,-0.038299988876276274
